Rank,Source,NumUniqueArticles
465,www.nraila.org,13
466,bigthink.com,13
467,theoutline.com,13
468,psmag.com,13
469,ktvq.com,13
470,www.khon2.com,13
471,www.tri-cityherald.com,13
472,muscatinejournal.com,13
473,www.wksu.org,13
474,www.wired.com,13
475,www.militarytimes.com,13
476,www.krem.com,13
477,www.charlestoncitypaper.com,13
478,radio.foxnews.com,13
479,abc11.com,13
480,www.baynews9.com,13
481,wwmt.com,13
482,therealdeal.com,12
483,katv.com,12
484,krtv.com,12
485,cointelegraph.com,12
486,publicintegrity.org,12
487,taskandpurpose.com,12
488,wcbs880.radio.com,12
489,www.opb.org,12
490,www.bozemandailychronicle.com,12
491,lmtribune.com,12
492,www.wfaa.com,12
493,www.mynbc5.com,12
494,www.si.com,12
495,globegazette.com,12
496,www.abcfoxmontana.com,12
497,therealnews.com,12
498,www.caller.com,12
499,www.omaha.com,12
500,www.wibc.com,12
501,www.nola.com,12
502,pittsburgh.cbslocal.com,12
503,www.telegraphherald.com,12
504,www.news10.com,12
505,www.wfla.com,12
506,www.express.co.uk,12
507,ravallirepublic.com,12
508,www.wric.com,12
509,www.bigislandvideonews.com,11
510,www.military.com,11
511,www.islandpacket.com,11
512,rewire.news,11
513,www.app.com,11
514,www.thedartmouth.com,11
515,www.democratandchronicle.com,11
516,www.city-journal.org,11
517,www.lohud.com,11
518,www.krdo.com,11
519,www.wtae.com,11
520,www.spin.com,11
521,spectrumlocalnews.com,11
522,www.sevendaysvt.com,11
523,www.nbc4i.com,11
524,losangeles.cbslocal.com,11
525,wset.com,11
526,wgme.com,11
527,www.khou.com,11
528,newschannel9.com,11
529,www.wkyt.com,11
530,observer.com,11
531,www.france24.com,11
532,marketrealist.com,10
533,www.kmaland.com,10
534,www.christianpost.com,10
535,vegnews.com,10
536,www.tennessean.com,10
537,www.theolympian.com,10
538,www.newnownext.com,10
539,www.lifesitenews.com,10
540,keprtv.com,10
541,www.ledgertranscript.com,10
542,www.investors.com,10
543,www.statnews.com,10
544,www.sacurrent.com,10
545,www.koco.com,10
546,newstalk955.com,10
547,www.theonion.com,10
548,mobile.reuters.com,10
549,commonwealthmagazine.org,10
550,www.espn.com,10
551,www.ammoland.com,10
552,www.washingtonian.com,10
553,wamu.org,10
554,flatheadbeacon.com,10
555,saraacarter.com,10
556,lasvegassun.com,10
557,www.metrotimes.com,10
558,www.newburyportnews.com,10
559,www.gjsentinel.com,10
560,whdh.com,10
561,www.inforum.com,10
562,www.ktvz.com,10
563,www.theepochtimes.com,10
564,www.cjonline.com,10
565,www.chicagobusiness.com,10
566,mauinow.com,10
567,www.thestreet.com,10
568,www.wxyz.com,10
569,www.today.com,10
570,foxsanantonio.com,10
571,cbs6albany.com,10
572,bangordailynews.com,10
573,www.themarysue.com,9
574,www.citypages.com,9
575,readsludge.com,9
576,radio.wosu.org,9
577,www.boston25news.com,9
578,www.oprahmag.com,9
579,www.mtv.com,9
580,fox17online.com,9
581,www.ozy.com,9
582,www.ourquadcities.com,9
583,www.inc.com,9
584,www.fox5ny.com,9
585,www.chronline.com,9
586,ktul.com,9
587,www.summitdaily.com,9
588,www.ecowatch.com,9
589,www.theindychannel.com,9
590,www.algemeiner.com,9
591,consequenceofsound.net,9
592,kfgo.com,9
593,www.ktsm.com,9
594,upolitics.com,9
595,www.pressdemocrat.com,9
596,www.1380kcim.com,9
597,koaa.com,9
598,www.sfexaminer.com,9
599,fair.org,9
600,today.yougov.com,9
601,www.stltoday.com,9
602,www.lasvegasnow.com,9
603,www.fox10phoenix.com,9
604,cheddar.com,9
605,www.providencejournal.com,9
606,www.arkansasonline.com,9
607,www.ktsa.com,9
608,video.foxnews.com,9
609,www.nhregister.com,9
610,www.fairfieldsuntimes.com,9
611,durangoherald.com,9
612,www.cjr.org,9
613,www.11alive.com,9
614,www.local10.com,9
615,www.kniakrls.com,9
616,thebulwark.com,9
617,www.tulsaworld.com,9
618,kfor.com,9
619,www.10news.com,9
620,www.marieclaire.com,9
621,consortiumnews.com,8
622,www.wweek.com,8
623,www.mic.com,8
624,www.counterpunch.org,8
625,sfist.com,8
626,www.curbed.com,8
627,noqreport.com,8
628,calmatters.org,8
629,www.oudaily.com,8
630,electrek.co,8
631,www.ohio.com,8
632,madison.com,8
633,www.wrdw.com,8
634,poststar.com,8
635,mtstandard.com,8
636,www.blackenterprise.com,8
637,www.wnyc.org,8
638,www.abc15.com,8
639,www.nonpareilonline.com,8
640,bklyner.com,8
641,www.daytondailynews.com,8
642,www.kktv.com,8
643,theappeal.org,8
644,turnto10.com,8
645,missoulacurrent.com,8
646,www.theadvocate.com,8
647,www.amgreatness.com,8
648,www.fox5vegas.com,8
649,www.fitsnews.com,8
650,www.kansascity.com,8
651,www.wlwt.com,8
652,www.lifezette.com,8
653,www.kcrw.com,8
654,www.chalkbeat.org,8
655,www.insidehighered.com,8
656,www.politicspa.com,8
657,www.ktvn.com,8
658,www.dailysignal.com,8
659,www.wfae.org,8
660,ktar.com,8
661,theconcourse.deadspin.com,8
662,www.thedp.com,8
663,www.postindependent.com,8
664,www.nashuatelegraph.com,8
665,www.stamfordadvocate.com,8
666,newjersey.news12.com,8
667,www.brainerddispatch.com,8
668,www.kenoshanews.com,8
669,www.whio.com,8
670,khn.org,7
671,www.texasstandard.org,7
672,www.wsfa.com,7
673,kvia.com,7
674,www.sctimes.com,7
675,www.indiewire.com,7
676,emersonpolling.reportablenews.com,7
677,www.messengernews.net,7
678,www.kitsapsun.com,7
679,www.nbcrightnow.com,7
680,timesofsandiego.com,7
681,www.valleynewslive.com,7
682,www.israelnationalnews.com,7
683,oklahoman.com,7
684,tucson.com,7
685,ny.curbed.com,7
686,fox5sandiego.com,7
687,www.ketv.com,7
688,kgmi.com,7
689,valleycentral.com,7
690,www.wkrn.com,7
691,tdn.com,7
692,www.montgomeryadvertiser.com,7
693,myfox8.com,7
694,jezebel.com,7
695,futurism.com,7
696,wvmetronews.com,7
697,www.tabletmag.com,7
698,fox17.com,7
699,www.greenwichtime.com,7
700,fox2now.com,7
701,onenewsnow.com,7
702,timesofindia.indiatimes.com,7
703,idahonews.com,7
704,www.voanews.com,7
705,www.dukechronicle.com,7
706,www.wavy.com,7
707,www.independentmail.com,7
708,www.nbcphiladelphia.com,7
709,www.koin.com,7
710,wnyt.com,7
711,www.wspa.com,7
712,wcyb.com,7
713,krcrtv.com,7
714,www.jns.org,6
715,bethesdamagazine.com,6
716,www.ktvq.com,6
717,www.coindesk.com,6
718,wgnradio.com,6
719,www.newsy.com,6
720,www.kunc.org,6
721,www.wesa.fm,6
722,wwd.com,6
723,www.andovertownsman.com,6
724,www.abqjournal.com,6
725,profootballtalk.nbcsports.com,6
726,dailygazette.com,6
727,www.kut.org,6
728,www.iowapublicradio.org,6
729,www.patheos.com,6
730,venturebeat.com,6
731,www.texasobserver.org,6
732,www.stereogum.com,6
733,www.nbcsports.com,6
734,kbzk.com,6
735,www.wlky.com,6
736,lawandcrime.com,6
737,www.eastbayexpress.com,6
738,abcstlouis.com,6
739,www.woodtv.com,6
740,www.wgrz.com,6
741,www.3newsnow.com,6
742,www.amestrib.com,6
743,www.scnow.com,6
744,www.augustachronicle.com,6
745,www.wamc.org,6
746,www.news5cleveland.com,6
747,www.harpersbazaar.com,6
748,www.wsbtv.com,6
749,okcfox.com,6
750,www.pe.com,6
751,www.newsbusters.org,6
752,www.wftv.com,6
753,www.northcountrypublicradio.org,6
754,www.ktvb.com,6
755,www.syfy.com,6
756,chalkbeat.org,6
757,www.portlandmercury.com,6
758,www.weareiowa.com,6
759,wnep.com,6
760,www.click2houston.com,6
761,www.bainbridgereview.com,6
762,nbc25news.com,6
763,www.insideedition.com,6
764,www.localsyr.com,6
765,www.dailyinterlake.com,6
766,littlevillagemag.com,6
767,ijr.com,6
768,www.wsav.com,6
769,www.dailynews.com,6
770,wgxa.tv,6
771,cbs12.com,6
772,www.rferl.org,6
773,missionlocal.org,5
774,www.kpax.com,5
775,manchesterinklink.com,5
776,bitcoinist.com,5
777,www.greentechmedia.com,5
778,ktiv.com,5
779,citylimits.org,5
780,knsiradio.com,5
781,baltimore.cbslocal.com,5
782,www.entrepreneur.com,5
783,www.thetimes.co.uk,5
784,www.hawaiitribune-herald.com,5
785,www.prnewswire.com,5
786,www.adirondackdailyenterprise.com,5
787,pitchfork.com,5
788,adage.com,5
789,www.thehawkeye.com,5
790,www.argusleader.com,5
791,nwasianweekly.com,5
792,www.myrtlebeachonline.com,5
793,www.balls.ie,5
794,www.wjcl.com,5
795,blogs.edweek.org,5
796,www.roanoke.com,5
797,fox13now.com,5
798,www.kwch.com,5
799,www.abc12.com,5
800,thecity.nyc,5
801,www.conservativereview.com,5
802,www.nwnewsnetwork.org,5
803,www.wshu.org,5
804,www.thetelegraph.com,5
805,www.communitynewspapergroup.com,5
806,cnycentral.com,5
807,5newsonline.com,5
808,www.palmbeachpost.com,5
809,www.kvue.com,5
810,www.poynter.org,5
811,www.phillymag.com,5
812,www.kctv5.com,5
813,theglowup.theroot.com,5
814,the-journal.com,5
815,goodmenproject.com,5
816,www.wvxu.org,5
817,www.tmj4.com,5
818,www.kshb.com,5
819,www.jconline.com,5
820,www.idahostatesman.com,5
821,www.etonline.com,5
822,www.digitaltrends.com,5
823,nesn.com,5
824,www.churchmilitant.com,5
825,dailyvoice.com,5
826,www.adweek.com,5
827,capitalresearch.org,5
828,wgntv.com,5
829,unfspinnaker.com,5
830,amgreatness.com,5
831,www.michiganradio.org,5
832,www.indy100.com,5
833,longisland.news12.com,5
834,www.13abc.com,5
835,twitchy.com,5
836,amsterdamnews.com,5
837,uproxx.com,5
838,fox4kc.com,5
839,philadelphia.cbslocal.com,5
840,www.wbaltv.com,5
841,www.kansas.com,5
842,news.artnet.com,5
843,kesq.com,5
844,abc30.com,5
845,www.fox5atlanta.com,5
846,www.yourerie.com,5
847,www.telegraph.co.uk,5
848,www.stripes.com,5
849,www.sidneyherald.com,5
850,motherboard.vice.com,5
851,kmph.com,5
852,www.navytimes.com,5
853,www.wpxi.com,5
854,www.union-bulletin.com,5
855,www.abc27.com,5
856,wcti12.com,5
857,www.abc17news.com,5
858,wjactv.com,5
859,klewtv.com,5
860,basicincome.org,4
861,gen.medium.com,4
862,www.radioiowa.com,4
863,ktvh.com,4
864,www.mymcmedia.org,4
865,www.brooklynvegan.com,4
866,www.wdrb.com,4
867,www.whec.com,4
868,www.leafly.com,4
869,www.wlrn.org,4
870,www.breakingisraelnews.com,4
871,www.bellinghamherald.com,4
872,www.iptv.org,4
873,thesource.com,4
874,pagetwo.completecolorado.com,4
875,www.nwitimes.com,4
876,www.clintonherald.com,4
877,mmajunkie.usatoday.com,4
878,www.kbzk.com,4
879,www.wctv.tv,4
880,www.rochesterfirst.com,4
881,www.kgun9.com,4
882,www.recode.net,4
883,www.nevadacurrent.com,4
884,projects.fivethirtyeight.com,4
885,www.dailybulletin.com,4
886,www.antiwar.com,4
887,www.americamagazine.org,4
888,www.aspenpublicradio.org,4
889,freespeech.org,4
890,ctmirror.org,4
891,www.wilx.com,4
892,fox61.com,4
893,www.metro.us,4
894,www.getreligion.org,4
895,www.brookings.edu,4
896,www.mother.ly,4
897,www.koat.com,4
898,www.eenews.net,4
899,www.christianitytoday.com,4
900,www.catholicnewsagency.com,4
901,www.law.com,4
902,www.abcactionnews.com,4
903,wgem.com,4
904,source.wustl.edu,4
905,dbknews.com,4
906,yellowhammernews.com,4
907,wach.com,4
908,www.wfsb.com,4
909,www.the74million.org,4
910,www.newschannel5.com,4
911,www.knoxnews.com,4
912,www.defensenews.com,4
913,www.winonadailynews.com,4
914,www.tribuneledgernews.com,4
915,www.postbulletin.com,4
916,bronx.news12.com,4
917,www.tribuneindia.com,4
918,www.goupstate.com,4
919,www.insidenova.com,4
920,oilprice.com,4
921,www.vaildaily.com,4
922,www.greensboro.com,4
923,www.fairfieldcitizenonline.com,4
924,merionwest.com,4
925,jewishcurrents.org,4
926,www.wisconsingazette.com,4
927,www.wcpo.com,4
928,www.ksfy.com,4
929,www.goerie.com,4
930,whyy.org,4
931,saugus.wickedlocal.com,4
932,www.pasadenastarnews.com,4
933,www.hotnewhiphop.com,4
934,www.tallahassee.com,4
935,wtvr.com,4
936,wbng.com,4
937,kscj.com,4
938,oaklandnewsnow.com,4
939,ntknetwork.com,4
940,middleton.wickedlocal.com,4
941,ivn.us,4
942,fee.org,4
943,www.wkyc.com,4
944,www.ibj.com,4
945,www.clickorlando.com,4
946,www.blabbermouth.net,4
947,www.yourtango.com,4
948,www.reformer.com,4
949,www.newstimes.com,4
950,www.marylandmatters.org,4
951,www.clarionledger.com,4
952,thebiglead.com,4
953,www.yaktrinews.com,4
954,www.thefader.com,4
955,www.mynews13.com,4
956,www.ibtimes.com,4
957,www.firstthings.com,4
958,www.commercialappeal.com,4
959,www.capradio.org,4
960,qconline.com,4
961,www.dailycamera.com,4
962,www.wistv.com,4
963,www.powerlineblog.com,4
964,www.nbc12.com,4
965,www.idsnews.com,4
966,thegrapevine.theroot.com,4
967,progressive.org,4
968,www.turnto23.com,4
969,www.auburn-reporter.com,4
970,www.wpri.com,4
971,www.lmtonline.com,4
972,www.capitalpress.com,4
973,www.wvgazettemail.com,4
974,www.floridadaily.com,4
975,www.counton2.com,4
976,www.centralmaine.com,4
977,www.americanbanker.com,4
978,lifehacker.com,4
979,www.geek.com,4
980,www.chronicle.com,3
981,www.eonline.com,3
982,www.indianapolismonthly.com,3
983,www.wisn.com,3
984,www.4029tv.com,3
985,www.phillytrib.com,3
986,www.columbiaspectator.com,3
987,www.wmtw.com,3
988,yaledailynews.com,3
989,www.delish.com,3
990,www.cardplayer.com,3
991,www.tpr.org,3
992,www.kold.com,3
993,goingconcern.com,3
994,www.aikenstandard.com,3
995,usaherald.com,3
996,thenextweb.com,3
997,www.wtnh.com,3
998,www.usmagazine.com,3
999,www.kearneyhub.com,3
1000,www.wvik.org,3
1001,www.wdsu.com,3
1002,www.sny.tv,3
1003,sflcn.com,3
1004,news.wbfo.org,3
1005,nbc24.com,3
1006,www.nny360.com,3
1007,www.austinchronicle.com,3
1008,hollywoodlife.com,3
1009,beincrypto.com,3
1010,www.citylandnyc.org,3
1011,www.themonitor.com,3
1012,www.newson6.com,3
1013,www.cbs17.com,3
1014,www.space.com,3
1015,www.kwtx.com,3
1016,awfulannouncing.com,3
1017,www.laconiadailysun.com,3
1018,www.kjrh.com,3
1019,www.gzeromedia.com,3
1020,www.charkoosta.com,3
1021,tvline.com,3
1022,njbiz.com,3
1023,www.rasmussenreports.com,3
1024,www.keloland.com,3
1025,www.justsecurity.org,3
1026,www.greeleytribune.com,3
1027,www.campusreform.org,3
1028,sf.eater.com,3
1029,www.livekindly.co,3
1030,kmmsam.com,3
1031,chicago.cbslocal.com,3
1032,www.lex18.com,3
1033,www.insider.com,3
1034,www.sunjournal.com,3
1035,www.record-courier.com,3
1036,www.nbcmiami.com,3
1037,www.mdjonline.com,3
1038,wbznewsradio.iheart.com,3
1039,www.wlfi.com,3
1040,www.vcstar.com,3
1041,pjmedia.com,3
1042,www.bradenton.com,3
1043,knpr.org,3
1044,commercialobserver.com,3
1045,bluevirginia.us,3
1046,71republic.com,3
1047,www.wsls.com,3
1048,www.pajiba.com,3
1049,www.nbcconnecticut.com,3
1050,www.kens5.com,3
1051,www.fiercepharma.com,3
1052,kttc.com,3
1053,indepthnh.org,3
1054,blogforiowa.com,3
1055,www.thehour.com,3
1056,www.fox13news.com,3
1057,www.thegardenisland.com,3
1058,www.smdp.com,3
1059,www.eastbaytimes.com,3
1060,www.wltx.com,3
1061,www.princewilliamtimes.com,3
1062,www.nbc29.com,3
1063,www.mintpressnews.com,3
1064,www.instyle.com,3
1065,www.indexjournal.com,3
1066,www.aspendailynews.com,3
1067,verysmartbrothas.theroot.com,3
1068,kcbsradio.radio.com,3
1069,dcist.com,3
1070,www.westsiderag.com,3
1071,www.idahopress.com,3
1072,www.hppr.org,3
1073,news.ballotpedia.org,3
1074,midhudsonnews.com,3
1075,www.wwlp.com,3
1076,www.wptv.com,3
1077,www.lansingstatejournal.com,3
1078,learningenglish.voanews.com,3
1079,www.weau.com,3
1080,www.swiowanewssource.com,3
1081,www.good.is,3
1082,www.fox16.com,3
1083,wsvn.com,3
1084,newbostonpost.com,3
1085,lancasteronline.com,3
1086,economictimes.indiatimes.com,3
1087,www.wrvo.org,3
1088,www.witn.com,3
1089,www.waer.org,3
1090,www.nashvillescene.com,3
1091,www.breakingviews.com,3
1092,www.americanthinker.com,3
1093,thelocalne.ws,3
1094,marblehead.wickedlocal.com,3
1095,lasentinel.net,3
1096,www.wesh.com,3
1097,www.newspressnow.com,3
1098,www.localnews8.com,3
1099,www.keranews.org,3
1100,www.heraldtribune.com,3
1101,www.fox5dc.com,3
1102,www.citizen-times.com,3
1103,www.cdapress.com,3
1104,www.wjbf.com,3
1105,www.winknews.com,3
1106,www.wane.com,3
1107,www.kpbs.org,3
1108,www.dailyherald.com,3
1109,news.gallup.com,3
1110,hannity.com,3
1111,www.wuwm.com,3
1112,www.wgal.com,3
1113,www.recordonline.com,3
1114,www.dailymail.co.uk,3
1115,www.buzzfeed.com,3
1116,politicalwire.com,3
1117,ftw.usatoday.com,3
1118,www.wbtw.com,3
1119,www.sportingnews.com,3
1120,www.pymnts.com,3
1121,www.newstatesman.com,3
